Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
Palworld,Very Positive,"(187,133)","['Action, Adventure, Indie, RPG, Early Access']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']","['Action, Adventure, Indie, RPG, Early Access']",Pocketpair,Pocketpair,"18 Jan, 2024",https://store.steampowered.com/app/1623730/Palworld/?snr=1_7_7_7000_150_1,$14.99
Counter-Strike 2,Very Positive,"(7,871,062)","['Action, Free to Play']","['Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Action, Free to Play']",Valve,Valve,"21 Aug, 2012",https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1,Free
Ready or Not,Very Positive,"(124,768)","['Action, Adventure, Indie']","['Single-player', 'Online Co-op', 'Steam Cloud']","['Action, Adventure, Indie']",VOID Interactive,VOID Interactive,"13 Dec, 2023",https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_7000_150_1,$21.74
NARAKA: BLADEPOINT,Mostly Positive,"(199,601)","['Action, Adventure, Massively Multiplayer']","['Online PvP', 'In-App Purchases']","['Action, Adventure, Massively Multiplayer']",24 Entertainment,NetEase Games Global,"12 Aug, 2021",https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_7000_150_1,Free
Lethal Company,Overwhelmingly Positive,"(261,544)","['Action, Adventure, Indie, Early Access']","['Single-player', 'Online Co-op']","['Action, Adventure, Indie, Early Access']",Zeekerss,Zeekerss,"24 Oct, 2023",https://store.steampowered.com/app/1966720/Lethal_Company/?snr=1_7_7_7000_150_1,$5.79
Grand Theft Auto V,Very Positive,"(1,581,398)","['Action, Adventure']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Action, Adventure']",Rockstar North,Rockstar Games,"14 Apr, 2015",https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_7000_150_1,$19.80
Dota 2,Very Positive,"(2,166,283)","['Action, Strategy, Free to Play']","['Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled']","['Action, Strategy, Free to Play']",Valve,Valve,"9 Jul, 2013",https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_7000_150_1,Free
Love Is All Around,Very Positive,"(31,700)","['Adventure, Indie, RPG, Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Adventure, Indie, RPG, Simulation, Strategy']",intiny,intiny,"18 Oct, 2023",https://store.steampowered.com/app/2322560/Love_Is_All_Around/?snr=1_7_7_7000_150_1,$4.93
eFootball™ 2024,Mixed,"(69,134)","['Simulation, Sports, Free to Play']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'In-App Purchases']","['Simulation, Sports, Free to Play']",KONAMI,KONAMI,"30 Sep, 2021",https://store.steampowered.com/app/1665460/eFootball_2024/?snr=1_7_7_7000_150_1,Free
World of Warships,Mostly Positive,"(136,065)","['Action, Massively Multiplayer, Simulation, Free to Play']","['MMO', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud']","['Action, Massively Multiplayer, Simulation, Free to Play']",Wargaming Group Limited,Wargaming Group Limited,"15 Nov, 2017",https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_7000_150_1,Free
Thronefall,Overwhelmingly Positive,"(10,179)","['Action, Indie, Strategy, Early Access']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']","['Action, Indie, Strategy, Early Access']",GrizzlyGames,GrizzlyGames,"2 Aug, 2023",https://store.steampowered.com/app/2239150/Thronefall/?snr=1_7_7_7000_150_1,$2.99
Ori and the Will of the Wisps,Overwhelmingly Positive,"(113,732)",['Action'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'HDR available']",['Action'],Moon Studios GmbH,Xbox Game Studios,"11 Mar, 2020",https://store.steampowered.com/app/1057090/Ori_and_the_Will_of_the_Wisps/?snr=1_7_7_7000_150_1,$9.89
FINAL FANTASY XIV Online,Very Positive,"(65,473)","['Massively Multiplayer, RPG']","['Single-player', 'MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Remote Play on Tablet']","['Massively Multiplayer, RPG']",Square Enix,Square Enix,"18 Feb, 2014",https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/?snr=1_7_7_7000_150_1,$15.99
